repo_name,url,error_message
narroyo1/sffnn,https://github.com/narroyo1/sffnn,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/narroyo1/sffnn repos/narroyo1/sffnn  stderr: fatal: destination path repos/narroyo1/sffnn already exists and is not an empty directory.'
nyuvis/ViCE,https://github.com/nyuvis/ViCE,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/nyuvis/ViCE repos/nyuvis/ViCE  stderr: fatal: destination path repos/nyuvis/ViCE already exists and is not an empty directory.'
littleHurt/Predictive-Maintenance-Practice,https://github.com/littleHurt/Predictive-Maintenance-Practice,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/littleHurt/Predictive-Maintenance-Practice repos/littleHurt/Predictive-Maintenance-Practice  stderr: fatal: destination path repos/littleHurt/Predictive-Maintenance-Practice already exists and is not an empty directory.'
tingyulan/ML,https://github.com/tingyulan/ML,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/tingyulan/ML repos/tingyulan/ML  stderr: fatal: destination path repos/tingyulan/ML already exists and is not an empty directory.'
shayanalibhatti/Video-Augmentation-Code,https://github.com/shayanalibhatti/Video-Augmentation-Code,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/shayanalibhatti/Video-Augmentation-Code repos/shayanalibhatti/Video-Augmentation-Code  stderr: fatal: destination path repos/shayanalibhatti/Video-Augmentation-Code already exists and is not an empty directory.'
paulmorio/gincco,https://github.com/paulmorio/gincco,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/paulmorio/gincco repos/paulmorio/gincco  stderr: fatal: destination path repos/paulmorio/gincco already exists and is not an empty directory.'
mmann1123/ts-raster,https://github.com/mmann1123/ts-raster,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/mmann1123/ts-raster repos/mmann1123/ts-raster  stderr: fatal: destination path repos/mmann1123/ts-raster already exists and is not an empty directory.'
eleonoreft/DelibAnalysis,https://github.com/eleonoreft/DelibAnalysis,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/eleonoreft/DelibAnalysis repos/eleonoreft/DelibAnalysis  stderr: fatal: destination path repos/eleonoreft/DelibAnalysis already exists and is not an empty directory.'
udexon/Phosway,https://github.com/udexon/Phosway,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/udexon/Phosway repos/udexon/Phosway  stderr: fatal: destination path repos/udexon/Phosway already exists and is not an empty directory.'
biplob1ly/TransICD,https://github.com/biplob1ly/TransICD,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/biplob1ly/TransICD repos/biplob1ly/TransICD  stderr: fatal: destination path repos/biplob1ly/TransICD already exists and is not an empty directory.'
javaidiqbal11/Mimicked-Mouse-Movement-NeuralNetwork,https://github.com/javaidiqbal11/Mimicked-Mouse-Movement-NeuralNetwork,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/javaidiqbal11/Mimicked-Mouse-Movement-NeuralNetwork repos/javaidiqbal11/Mimicked-Mouse-Movement-NeuralNetwork  stderr: fatal: destination path repos/javaidiqbal11/Mimicked-Mouse-Movement-NeuralNetwork already exists and is not an empty directory.'
HiLabTufts/GailBot,https://github.com/HiLabTufts/GailBot,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/HiLabTufts/GailBot repos/HiLabTufts/GailBot  stderr: Cloning into repos/HiLabTufts/GailBot...fatal: could not read Username for https://github.com: Device not configured'
the-muses-ltd/Hades-Machine-Learning-Lambda-Function-Container,https://github.com/the-muses-ltd/Hades-Machine-Learning-Lambda-Function-Container,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/the-muses-ltd/Hades-Machine-Learning-Lambda-Function-Container repos/the-muses-ltd/Hades-Machine-Learning-Lambda-Function-Container  stderr: fatal: destination path repos/the-muses-ltd/Hades-Machine-Learning-Lambda-Function-Container already exists and is not an empty directory.'
m4tx/MahjongAI,https://github.com/m4tx/MahjongAI,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/m4tx/MahjongAI repos/m4tx/MahjongAI  stderr: fatal: destination path repos/m4tx/MahjongAI already exists and is not an empty directory.'
bees4ever/seaqube,https://github.com/bees4ever/seaqube,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/bees4ever/seaqube repos/bees4ever/seaqube  stderr: fatal: destination path repos/bees4ever/seaqube already exists and is not an empty directory.'
LiangzeJiang/Aerial-Road-Segmentation,https://github.com/LiangzeJiang/Aerial-Road-Segmentation,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/LiangzeJiang/Aerial-Road-Segmentation repos/LiangzeJiang/Aerial-Road-Segmentation  stderr: fatal: destination path repos/LiangzeJiang/Aerial-Road-Segmentation already exists and is not an empty directory.'
ryanhau94/Qptimizer,https://github.com/ryanhau94/Qptimizer,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/ryanhau94/Qptimizer repos/ryanhau94/Qptimizer  stderr: Cloning into repos/ryanhau94/Qptimizer...fatal: could not read Username for https://github.com: Device not configured'
tlsjz/ATPensemble,https://github.com/tlsjz/ATPensemble,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/tlsjz/ATPensemble repos/tlsjz/ATPensemble  stderr: fatal: destination path repos/tlsjz/ATPensemble already exists and is not an empty directory.'
anikakhandelwal/Predicting-Customer-Satisfaction-for-Ecommerce-Platform,https://github.com/anikakhandelwal/Predicting-Customer-Satisfaction-for-Ecommerce-Platform,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/anikakhandelwal/Predicting-Customer-Satisfaction-for-Ecommerce-Platform repos/anikakhandelwal/Predicting-Customer-Satisfaction-for-Ecommerce-Platform  stderr: Cloning into repos/anikakhandelwal/Predicting-Customer-Satisfaction-for-Ecommerce-Platform...POST git-upload-pack (191 bytes)POST git-upload-pack (233 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
anukchat/cassava_leaf_classifier,https://github.com/anukchat/cassava_leaf_classifier,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/anukchat/cassava_leaf_classifier repos/anukchat/cassava_leaf_classifier  stderr: fatal: destination path repos/anukchat/cassava_leaf_classifier already exists and is not an empty directory.'
husonlab/covid19paper,https://github.com/husonlab/covid19paper,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/husonlab/covid19paper repos/husonlab/covid19paper  stderr: fatal: destination path repos/husonlab/covid19paper already exists and is not an empty directory.'
PhikolomziG/inara,https://github.com/PhikolomziG/inara,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/PhikolomziG/inara repos/PhikolomziG/inara  stderr: Cloning into repos/PhikolomziG/inara...fatal: could not read Username for https://github.com: Device not configured'
MPEDS/mpeds,https://github.com/MPEDS/mpeds,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/MPEDS/mpeds repos/MPEDS/mpeds  stderr: fatal: destination path repos/MPEDS/mpeds already exists and is not an empty directory.'
MolecularAI/Deep-Drug-Coder,https://github.com/MolecularAI/Deep-Drug-Coder,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/MolecularAI/Deep-Drug-Coder repos/MolecularAI/Deep-Drug-Coder  stderr: Cloning into repos/MolecularAI/Deep-Drug-Coder...POST git-upload-pack (191 bytes)POST git-upload-pack (433 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
kristinamb15/conspiracy-generator,https://github.com/kristinamb15/conspiracy-generator,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/kristinamb15/conspiracy-generator repos/kristinamb15/conspiracy-generator  stderr: fatal: destination path repos/kristinamb15/conspiracy-generator already exists and is not an empty directory.'
Suveesh/Disaster-Response-Pipeline,https://github.com/Suveesh/Disaster-Response-Pipeline,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/Suveesh/Disaster-Response-Pipeline repos/Suveesh/Disaster-Response-Pipeline  stderr: fatal: destination path repos/Suveesh/Disaster-Response-Pipeline already exists and is not an empty directory.'
michaelnutt2/WildfireDetectionSystem,https://github.com/michaelnutt2/WildfireDetectionSystem,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/michaelnutt2/WildfireDetectionSystem repos/michaelnutt2/WildfireDetectionSystem  stderr: Cloning into repos/michaelnutt2/WildfireDetectionSystem...POST git-upload-pack (191 bytes)POST git-upload-pack (283 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
focus-storm/backend,https://github.com/focus-storm/backend,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/focus-storm/backend repos/focus-storm/backend  stderr: Cloning into repos/focus-storm/backend...POST git-upload-pack (191 bytes)POST git-upload-pack (333 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
dariocorral/Immo-Valuta,https://github.com/dariocorral/Immo-Valuta,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/dariocorral/Immo-Valuta repos/dariocorral/Immo-Valuta  stderr: fatal: destination path repos/dariocorral/Immo-Valuta already exists and is not an empty directory.'
pskr0/pavanmajor,https://github.com/pskr0/pavanmajor,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/pskr0/pavanmajor repos/pskr0/pavanmajor  stderr: Cloning into repos/pskr0/pavanmajor...POST git-upload-pack (191 bytes)POST git-upload-pack (233 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
JonathanLaneMcDonald/ML_for_SLA,https://github.com/JonathanLaneMcDonald/ML_for_SLA,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/JonathanLaneMcDonald/ML_for_SLA repos/JonathanLaneMcDonald/ML_for_SLA  stderr: fatal: destination path repos/JonathanLaneMcDonald/ML_for_SLA already exists and is not an empty directory.'
01pooja10/SteerSecure,https://github.com/01pooja10/SteerSecure,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/01pooja10/SteerSecure repos/01pooja10/SteerSecure  stderr: Cloning into repos/01pooja10/SteerSecure...POST git-upload-pack (191 bytes)POST git-upload-pack (233 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
ritviyer/FPL-Team-Prediction,https://github.com/ritviyer/FPL-Team-Prediction,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/ritviyer/FPL-Team-Prediction repos/ritviyer/FPL-Team-Prediction  stderr: fatal: destination path repos/ritviyer/FPL-Team-Prediction already exists and is not an empty directory.'
research-team/memristive-brain,https://github.com/research-team/memristive-brain,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/research-team/memristive-brain repos/research-team/memristive-brain  stderr: fatal: destination path repos/research-team/memristive-brain already exists and is not an empty directory.'
h2r/RobotLearningBaselines,https://github.com/h2r/RobotLearningBaselines,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/h2r/RobotLearningBaselines repos/h2r/RobotLearningBaselines  stderr: fatal: destination path repos/h2r/RobotLearningBaselines already exists and is not an empty directory.'
frederikgram/sanitara,https://github.com/frederikgram/sanitara,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/frederikgram/sanitara repos/frederikgram/sanitara  stderr: fatal: destination path repos/frederikgram/sanitara already exists and is not an empty directory.'
mishaberrien/your_personal_cookbook_webapp,https://github.com/mishaberrien/your_personal_cookbook_webapp,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/mishaberrien/your_personal_cookbook_webapp repos/mishaberrien/your_personal_cookbook_webapp  stderr: fatal: destination path repos/mishaberrien/your_personal_cookbook_webapp already exists and is not an empty directory.'
hendrik-sill/DSND_Data_Pipeline,https://github.com/hendrik-sill/DSND_Data_Pipeline,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/hendrik-sill/DSND_Data_Pipeline repos/hendrik-sill/DSND_Data_Pipeline  stderr: fatal: destination path repos/hendrik-sill/DSND_Data_Pipeline already exists and is not an empty directory.'
evavdborn/cadaai,https://github.com/evavdborn/cadaai,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/evavdborn/cadaai repos/evavdborn/cadaai  stderr: fatal: destination path repos/evavdborn/cadaai already exists and is not an empty directory.'
ColtonMcEwen/detection,https://github.com/ColtonMcEwen/detection,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/ColtonMcEwen/detection repos/ColtonMcEwen/detection  stderr: fatal: destination path repos/ColtonMcEwen/detection already exists and is not an empty directory.'
lejafar/FactRank,https://github.com/lejafar/FactRank,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/lejafar/FactRank repos/lejafar/FactRank  stderr: fatal: destination path repos/lejafar/FactRank already exists and is not an empty directory.'
ExplainableML/rdtc,https://github.com/ExplainableML/rdtc,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/ExplainableML/rdtc repos/ExplainableML/rdtc  stderr: Cloning into repos/ExplainableML/rdtc...POST git-upload-pack (191 bytes)POST git-upload-pack (233 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
NorthOfNull/BotnetDetectionEngine,https://github.com/NorthOfNull/BotnetDetectionEngine,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/NorthOfNull/BotnetDetectionEngine repos/NorthOfNull/BotnetDetectionEngine  stderr: fatal: destination path repos/NorthOfNull/BotnetDetectionEngine already exists and is not an empty directory.'
hanhyeok/STEC_pathogenicity_prediction,https://github.com/hanhyeok/STEC_pathogenicity_prediction,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/hanhyeok/STEC_pathogenicity_prediction repos/hanhyeok/STEC_pathogenicity_prediction  stderr: fatal: destination path repos/hanhyeok/STEC_pathogenicity_prediction already exists and is not an empty directory.'
sigeisler/being-robust-can-be-practical,https://github.com/sigeisler/being-robust-can-be-practical,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/sigeisler/being-robust-can-be-practical repos/sigeisler/being-robust-can-be-practical  stderr: fatal: destination path repos/sigeisler/being-robust-can-be-practical already exists and is not an empty directory.'
LucasCosas/mlops,https://github.com/LucasCosas/mlops,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/LucasCosas/mlops repos/LucasCosas/mlops  stderr: fatal: destination path repos/LucasCosas/mlops already exists and is not an empty directory.'
labrl/workshop-machine-learning,https://github.com/labrl/workshop-machine-learning,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/labrl/workshop-machine-learning repos/labrl/workshop-machine-learning  stderr: fatal: destination path repos/labrl/workshop-machine-learning already exists and is not an empty directory.'
jgrooen/estimating-car-price,https://github.com/jgrooen/estimating-car-price,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/jgrooen/estimating-car-price repos/jgrooen/estimating-car-price  stderr: Cloning into repos/jgrooen/estimating-car-price...fatal: could not read Username for https://github.com: Device not configured'
tkmanabat/face-mask-detection,https://github.com/tkmanabat/face-mask-detection,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/tkmanabat/face-mask-detection repos/tkmanabat/face-mask-detection  stderr: fatal: destination path repos/tkmanabat/face-mask-detection already exists and is not an empty directory.'
asingh33/SupervisedChromeTrex,https://github.com/asingh33/SupervisedChromeTrex,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/asingh33/SupervisedChromeTrex repos/asingh33/SupervisedChromeTrex  stderr: Cloning into repos/asingh33/SupervisedChromeTrex...POST git-upload-pack (191 bytes)POST git-upload-pack (283 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
kafkasl/hpc.fassr,https://github.com/kafkasl/hpc.fassr,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/kafkasl/hpc.fassr repos/kafkasl/hpc.fassr  stderr: fatal: destination path repos/kafkasl/hpc.fassr already exists and is not an empty directory.'
colinpcurtis/datares_GANs,https://github.com/colinpcurtis/datares_GANs,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/colinpcurtis/datares_GANs repos/colinpcurtis/datares_GANs  stderr: fatal: destination path repos/colinpcurtis/datares_GANs already exists and is not an empty directory.'
jshmjs45/data_for_chem,https://github.com/jshmjs45/data_for_chem,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/jshmjs45/data_for_chem repos/jshmjs45/data_for_chem  stderr: fatal: destination path repos/jshmjs45/data_for_chem already exists and is not an empty directory.'
Singh-Lab/dSPRINT,https://github.com/Singh-Lab/dSPRINT,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/Singh-Lab/dSPRINT repos/Singh-Lab/dSPRINT  stderr: fatal: destination path repos/Singh-Lab/dSPRINT already exists and is not an empty directory.'
vinamramunot-tech/deep-learning-sandbox,https://github.com/vinamramunot-tech/deep-learning-sandbox,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/vinamramunot-tech/deep-learning-sandbox repos/vinamramunot-tech/deep-learning-sandbox  stderr: fatal: destination path repos/vinamramunot-tech/deep-learning-sandbox already exists and is not an empty directory.'
rohinagrawal/Neural-Image-Descriptor,https://github.com/rohinagrawal/Neural-Image-Descriptor,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/rohinagrawal/Neural-Image-Descriptor repos/rohinagrawal/Neural-Image-Descriptor  stderr: fatal: destination path repos/rohinagrawal/Neural-Image-Descriptor already exists and is not an empty directory.'
SoylabSingh/SNAP,https://github.com/SoylabSingh/SNAP,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/SoylabSingh/SNAP repos/SoylabSingh/SNAP  stderr: fatal: destination path repos/SoylabSingh/SNAP already exists and is not an empty directory.'
USC-CSCI527-Spring2021/VizDoom-Bot,https://github.com/USC-CSCI527-Spring2021/VizDoom-Bot,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/USC-CSCI527-Spring2021/VizDoom-Bot repos/USC-CSCI527-Spring2021/VizDoom-Bot  stderr: fatal: destination path repos/USC-CSCI527-Spring2021/VizDoom-Bot already exists and is not an empty directory.'
amoreZgx1n/First-hope,https://github.com/amoreZgx1n/First-hope,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/amoreZgx1n/First-hope repos/amoreZgx1n/First-hope  stderr: Cloning into repos/amoreZgx1n/First-hope...fatal: could not read Username for https://github.com: Device not configured'
danghermang/drowsiness_detection,https://github.com/danghermang/drowsiness_detection,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/danghermang/drowsiness_detection repos/danghermang/drowsiness_detection  stderr: fatal: destination path repos/danghermang/drowsiness_detection already exists and is not an empty directory.'
maxherobrine/android_apk_datasets,https://github.com/maxherobrine/android_apk_datasets,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/maxherobrine/android_apk_datasets repos/maxherobrine/android_apk_datasets  stderr: fatal: destination path repos/maxherobrine/android_apk_datasets already exists and is not an empty directory.'
ManufacturingInformatics/Pitch-In_M11,https://github.com/ManufacturingInformatics/Pitch-In_M11,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/ManufacturingInformatics/Pitch-In_M11 repos/ManufacturingInformatics/Pitch-In_M11  stderr: fatal: destination path repos/ManufacturingInformatics/Pitch-In_M11 already exists and is not an empty directory.'
DeputyShrute/Project-Soros,https://github.com/DeputyShrute/Project-Soros,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/DeputyShrute/Project-Soros repos/DeputyShrute/Project-Soros  stderr: fatal: destination path repos/DeputyShrute/Project-Soros already exists and is not an empty directory.'
friendlyOrc/FireDetection2021,https://github.com/friendlyOrc/FireDetection2021,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/friendlyOrc/FireDetection2021 repos/friendlyOrc/FireDetection2021  stderr: Cloning into repos/friendlyOrc/FireDetection2021...fatal: could not read Username for https://github.com: Device not configured'
cirisjl/ELECTRA-for-Kinase-specific-Phosphorylation-Site-Prediction,https://github.com/cirisjl/ELECTRA-for-Kinase-specific-Phosphorylation-Site-Prediction,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/cirisjl/ELECTRA-for-Kinase-specific-Phosphorylation-Site-Prediction repos/cirisjl/ELECTRA-for-Kinase-specific-Phosphorylation-Site-Prediction  stderr: fatal: destination path repos/cirisjl/ELECTRA-for-Kinase-specific-Phosphorylation-Site-Prediction already exists and is not an empty directory.'
lil-lab/cerealbar,https://github.com/lil-lab/cerealbar,'Cmd(git) failed due to: exit code(128)  cmdline: git clone -v https://github.com/lil-lab/cerealbar repos/lil-lab/cerealbar  stderr: Cloning into repos/lil-lab/cerealbar...POST git-upload-pack (191 bytes)POST git-upload-pack (233 bytes)git-lfs filter-process: git-lfs: command not foundfatal: the remote end hung up unexpectedlywarning: Clone succeeded, but checkout failed.You can inspect what was checked out with git statusand retry with git restore --source=HEAD :/'
